instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weathershit,temp_bin
125,2011-01-06,winter,2011,Jan,10,0,4,yes,1,8.200000000000001,12.879999999999999,0.47,0.0,3,42,45,1,Very Cold
126,2011-01-06,winter,2011,Jan,11,0,4,yes,1,9.02,12.879999999999999,0.44,0.0896,2,57,59,1,Very Cold
127,2011-01-06,winter,2011,Jan,12,0,4,yes,1,10.66,14.395,0.35,0.0,6,78,84,1,Cold
128,2011-01-06,winter,2011,Jan,13,0,4,yes,1,10.66,13.635,0.35,0.1045,12,55,67,1,Cold
129,2011-01-06,winter,2011,Jan,14,0,4,yes,1,11.48,13.635,0.36,0.1642,11,59,70,1,Cold
130,2011-01-06,winter,2011,Jan,15,0,4,yes,1,11.48,13.635,0.36,0.0,8,54,62,1,Cold
131,2011-01-06,winter,2011,Jan,16,0,4,yes,1,10.66,12.879999999999999,0.38,0.1642,12,74,86,1,Cold
132,2011-01-06,winter,2011,Jan,17,0,4,yes,1,9.02,11.365,0.51,0.1642,9,163,172,1,Very Cold
133,2011-01-06,winter,2011,Jan,18,0,4,yes,1,9.02,11.365,0.51,0.1343,5,158,163,1,Very Cold
134,2011-01-06,winter,2011,Jan,19,0,4,yes,1,9.02,12.879999999999999,0.55,0.0896,3,109,112,1,Very Cold
135,2011-01-06,winter,2011,Jan,20,0,4,yes,1,8.200000000000001,10.605,0.51,0.1642,3,66,69,1,Very Cold
136,2011-01-06,winter,2011,Jan,21,0,4,yes,2,9.02,10.605,0.55,0.2239,0,48,48,2,Very Cold
137,2011-01-06,winter,2011,Jan,22,0,4,yes,2,9.02,10.605,0.51,0.2836,1,51,52,2,Very Cold
138,2011-01-06,winter,2011,Jan,23,0,4,yes,2,8.200000000000001,9.85,0.59,0.194,4,19,23,2,Very Cold
139,2011-01-07,winter,2011,Jan,0,0,5,yes,2,8.200000000000001,9.85,0.64,0.194,4,13,17,2,Very Cold
140,2011-01-07,winter,2011,Jan,1,0,5,yes,2,8.200000000000001,9.85,0.69,0.2239,2,5,7,2,Very Cold
141,2011-01-07,winter,2011,Jan,2,0,5,yes,2,8.200000000000001,9.85,0.69,0.2239,0,1,1,2,Very Cold
142,2011-01-07,winter,2011,Jan,4,0,5,yes,2,8.200000000000001,10.605,0.69,0.1343,0,1,1,2,Very Cold
143,2011-01-07,winter,2011,Jan,5,0,5,yes,3,9.02,13.635,0.55,0.0,0,5,5,3,Very Cold
144,2011-01-07,winter,2011,Jan,6,0,5,yes,2,8.200000000000001,12.879999999999999,0.69,0.0,8,26,34,2,Very Cold
145,2011-01-07,winter,2011,Jan,7,0,5,yes,1,8.200000000000001,10.605,0.69,0.1343,8,76,84,1,Very Cold
146,2011-01-07,winter,2011,Jan,8,0,5,yes,1,8.200000000000001,9.85,0.51,0.2537,20,190,210,1,Very Cold
147,2011-01-07,winter,2011,Jan,9,0,5,yes,1,8.200000000000001,9.09,0.47,0.2985,9,125,134,1,Very Cold
148,2011-01-07,winter,2011,Jan,10,0,5,yes,1,9.02,9.85,0.37,0.3284,16,47,63,1,Very Cold
149,2011-01-07,winter,2011,Jan,11,0,5,yes,2,8.200000000000001,9.85,0.4,0.2239,19,48,67,2,Very Cold
150,2011-01-07,winter,2011,Jan,12,0,5,yes,2,8.200000000000001,9.85,0.37,0.2537,9,50,59,2,Very Cold
151,2011-01-07,winter,2011,Jan,13,0,5,yes,2,8.200000000000001,9.09,0.37,0.2836,9,64,73,2,Very Cold
152,2011-01-07,winter,2011,Jan,14,0,5,yes,2,8.200000000000001,9.85,0.4,0.2537,7,43,50,2,Very Cold
153,2011-01-07,winter,2011,Jan,15,0,5,yes,2,8.200000000000001,10.605,0.37,0.1642,9,63,72,2,Very Cold
154,2011-01-07,winter,2011,Jan,16,0,5,yes,2,8.200000000000001,10.605,0.37,0.1642,5,82,87,2,Very Cold
155,2011-01-07,winter,2011,Jan,17,0,5,yes,2,8.200000000000001,12.879999999999999,0.37,0.0,9,178,187,2,Very Cold
156,2011-01-07,winter,2011,Jan,18,0,5,yes,1,8.200000000000001,11.365,0.4,0.0896,7,116,123,1,Very Cold
157,2011-01-07,winter,2011,Jan,19,0,5,yes,1,6.5600000000000005,9.85,0.55,0.0896,3,92,95,1,Very Cold
158,2011-01-07,winter,2011,Jan,20,0,5,yes,1,7.38,10.605,0.47,0.1045,1,50,51,1,Very Cold
159,2011-01-07,winter,2011,Jan,21,0,5,yes,1,7.38,9.85,0.47,0.1343,0,39,39,1,Very Cold
160,2011-01-07,winter,2011,Jan,22,0,5,yes,2,7.38,9.85,0.43,0.1642,2,34,36,2,Very Cold
161,2011-01-07,winter,2011,Jan,23,0,5,yes,2,7.38,9.85,0.51,0.1642,1,14,15,2,Very Cold
162,2011-01-08,winter,2011,Jan,0,0,6,no,2,7.38,9.85,0.51,0.1642,1,24,25,2,Very Cold
163,2011-01-08,winter,2011,Jan,1,0,6,no,2,7.38,10.605,0.55,0.0896,1,15,16,2,Very Cold
164,2011-01-08,winter,2011,Jan,2,0,6,no,2,7.38,12.120000000000001,0.55,0.0,3,13,16,2,Very Cold
165,2011-01-08,winter,2011,Jan,3,0,6,no,3,7.38,9.85,0.55,0.1642,0,7,7,3,Very Cold
166,2011-01-08,winter,2011,Jan,4,0,6,no,3,7.38,9.85,0.55,0.1642,0,1,1,3,Very Cold
167,2011-01-08,winter,2011,Jan,5,0,6,no,2,6.5600000000000005,8.334999999999999,0.74,0.1642,0,5,5,2,Very Cold
168,2011-01-08,winter,2011,Jan,6,0,6,no,2,6.5600000000000005,8.334999999999999,0.74,0.1642,0,2,2,2,Very Cold
169,2011-01-08,winter,2011,Jan,7,0,6,no,2,6.5600000000000005,9.09,0.74,0.1045,1,8,9,2,Very Cold
170,2011-01-08,winter,2011,Jan,8,0,6,no,3,6.5600000000000005,9.09,0.93,0.1045,0,15,15,3,Very Cold
171,2011-01-08,winter,2011,Jan,9,0,6,no,3,6.5600000000000005,9.09,0.93,0.1045,0,20,20,3,Very Cold
172,2011-01-08,winter,2011,Jan,10,0,6,no,2,7.38,9.85,0.8,0.1642,5,56,61,2,Very Cold
173,2011-01-08,winter,2011,Jan,11,0,6,no,2,8.200000000000001,9.09,0.69,0.3881,2,60,62,2,Very Cold
174,2011-01-08,winter,2011,Jan,12,0,6,no,2,8.200000000000001,9.09,0.59,0.3582,8,90,98,2,Very Cold
175,2011-01-08,winter,2011,Jan,13,0,6,no,1,8.200000000000001,9.09,0.44,0.3284,7,95,102,1,Very Cold
176,2011-01-08,winter,2011,Jan,14,0,6,no,1,8.200000000000001,8.334999999999999,0.32,0.4925,12,83,95,1,Very Cold
177,2011-01-08,winter,2011,Jan,15,0,6,no,1,8.200000000000001,8.334999999999999,0.32,0.4478,5,69,74,1,Very Cold
178,2011-01-08,winter,2011,Jan,16,0,6,no,1,7.38,6.819999999999999,0.29,0.4478,8,68,76,1,Very Cold
179,2011-01-08,winter,2011,Jan,17,0,6,no,1,6.5600000000000005,6.0600000000000005,0.37,0.5522,5,64,69,1,Very Cold
180,2011-01-08,winter,2011,Jan,18,0,6,no,1,5.74,6.0600000000000005,0.39,0.2985,3,52,55,1,Very Cold
181,2011-01-08,winter,2011,Jan,19,0,6,no,1,5.74,6.0600000000000005,0.36,0.2537,4,26,30,1,Very Cold
182,2011-01-08,winter,2011,Jan,20,0,6,no,1,4.92,6.0600000000000005,0.36,0.2537,0,28,28,1,Very Cold
183,2011-01-08,winter,2011,Jan,21,0,6,no,1,4.92,5.305,0.39,0.3582,2,35,37,1,Very Cold
184,2011-01-08,winter,2011,Jan,22,0,6,no,1,4.92,5.305,0.36,0.3881,1,33,34,1,Very Cold
185,2011-01-08,winter,2011,Jan,23,0,6,no,1,4.1000000000000005,3.0300000000000002,0.39,0.4478,0,22,22,1,Very Cold
186,2011-01-09,winter,2011,Jan,0,0,0,no,1,4.1000000000000005,3.7900000000000005,0.42,0.3881,1,24,25,1,Very Cold
187,2011-01-09,winter,2011,Jan,1,0,0,no,1,4.1000000000000005,3.0300000000000002,0.42,0.4627,0,12,12,1,Very Cold
188,2011-01-09,winter,2011,Jan,2,0,0,no,1,4.1000000000000005,3.0300000000000002,0.46,0.4627,0,11,11,1,Very Cold
189,2011-01-09,winter,2011,Jan,3,0,0,no,1,4.1000000000000005,3.7900000000000005,0.46,0.4179,0,4,4,1,Very Cold
190,2011-01-09,winter,2011,Jan,4,0,0,no,1,3.2800000000000002,4.545,0.53,0.194,0,1,1,1,Very Cold
191,2011-01-09,winter,2011,Jan,5,0,0,no,1,3.2800000000000002,4.545,0.53,0.194,0,1,1,1,Very Cold
192,2011-01-09,winter,2011,Jan,6,0,0,no,1,4.1000000000000005,4.545,0.49,0.2836,0,1,1,1,Very Cold
193,2011-01-09,winter,2011,Jan,7,0,0,no,1,3.2800000000000002,4.545,0.53,0.194,1,5,6,1,Very Cold
194,2011-01-09,winter,2011,Jan,8,0,0,no,1,4.1000000000000005,4.545,0.49,0.2836,0,10,10,1,Very Cold
195,2011-01-09,winter,2011,Jan,9,0,0,no,1,4.92,3.7900000000000005,0.46,0.5224,0,19,19,1,Very Cold
196,2011-01-09,winter,2011,Jan,10,0,0,no,1,5.74,5.305,0.43,0.3881,0,49,49,1,Very Cold
197,2011-01-09,winter,2011,Jan,11,0,0,no,1,6.5600000000000005,6.0600000000000005,0.4,0.5224,2,47,49,1,Very Cold
198,2011-01-09,winter,2011,Jan,12,0,0,no,1,7.38,6.819999999999999,0.37,0.4478,4,79,83,1,Very Cold
199,2011-01-09,winter,2011,Jan,13,0,0,no,1,8.200000000000001,8.334999999999999,0.34,0.4478,6,69,75,1,Very Cold
200,2011-01-09,winter,2011,Jan,14,0,0,no,1,9.02,9.09,0.32,0.4627,8,64,72,1,Very Cold
201,2011-01-09,winter,2011,Jan,15,0,0,no,1,9.02,9.85,0.35,0.3582,5,77,82,1,Very Cold
202,2011-01-09,winter,2011,Jan,16,0,0,no,1,8.200000000000001,8.334999999999999,0.34,0.4478,13,79,92,1,Very Cold
203,2011-01-09,winter,2011,Jan,17,0,0,no,1,7.38,7.575,0.37,0.3881,3,59,62,1,Very Cold
204,2011-01-09,winter,2011,Jan,18,0,0,no,1,6.5600000000000005,6.819999999999999,0.4,0.3284,4,44,48,1,Very Cold
205,2011-01-09,winter,2011,Jan,19,0,0,no,1,6.5600000000000005,6.819999999999999,0.43,0.3284,1,40,41,1,Very Cold
206,2011-01-09,winter,2011,Jan,20,0,0,no,1,5.74,6.0600000000000005,0.46,0.2537,0,38,38,1,Very Cold
207,2011-01-09,winter,2011,Jan,21,0,0,no,1,5.74,5.305,0.46,0.4179,1,19,20,1,Very Cold
208,2011-01-09,winter,2011,Jan,22,0,0,no,1,5.74,6.0600000000000005,0.46,0.2985,5,10,15,1,Very Cold
209,2011-01-09,winter,2011,Jan,23,0,0,no,1,4.92,6.819999999999999,0.5,0.194,0,6,6,1,Very Cold
210,2011-01-10,winter,2011,Jan,0,0,1,yes,1,4.92,6.0600000000000005,0.5,0.2836,2,3,5,1,Very Cold
211,2011-01-10,winter,2011,Jan,1,0,1,yes,1,4.92,6.0600000000000005,0.5,0.2836,1,0,1,1,Very Cold
212,2011-01-10,winter,2011,Jan,2,0,1,yes,1,4.92,6.0600000000000005,0.5,0.2239,0,3,3,1,Very Cold
213,2011-01-10,winter,2011,Jan,3,0,1,yes,1,4.92,6.0600000000000005,0.5,0.2239,0,1,1,1,Very Cold
214,2011-01-10,winter,2011,Jan,4,0,1,yes,1,4.1000000000000005,6.0600000000000005,0.54,0.1343,1,2,3,1,Very Cold
215,2011-01-10,winter,2011,Jan,5,0,1,yes,1,4.1000000000000005,5.305,0.54,0.2537,0,3,3,1,Very Cold
216,2011-01-10,winter,2011,Jan,6,0,1,yes,1,4.92,6.0600000000000005,0.5,0.2836,0,31,31,1,Very Cold
217,2011-01-10,winter,2011,Jan,7,0,1,yes,1,4.92,6.0600000000000005,0.5,0.2239,2,75,77,1,Very Cold
218,2011-01-10,winter,2011,Jan,8,0,1,yes,2,4.92,6.0600000000000005,0.5,0.2836,4,184,188,2,Very Cold
219,2011-01-10,winter,2011,Jan,9,0,1,yes,2,5.74,6.0600000000000005,0.5,0.2537,2,92,94,2,Very Cold
